text,label,review_length,length_bin,pred,true,prob_pos,correct,confidence
"I just saw this movie in a sneak preview and before reading my comment you have to know that it is very subjective because I love Techno, Trance, Club, House and music like that.<br /><br />The movie deals with Carl, whose brother Jason (or whatever his name was) died in an accident: he fell off a rooftop, ""drunk"". Carl meets his brother's girlfriend Sunny and the two of them quite unmotivated some kind of private investigation about Jason's death and Carl gets involved in Jason's ex-life that was filled with clubs and drugs. The movie itself, seen from an artistic point of view, is nothing more than a big pile of s**t. The plot is predictable, all of the characters are extremely cliched and two-dimensional (stupid boy from a small town, young good-looking innocent girl, big bad drug king... the list is endless) and most of the acting such as the plot are just not credible. Matthew Rhys' performance of the stupid boy coming to big London and sudden taking drugs from people he does not even know does not seem very credible, unlike his female counterpart Sunny, performed by Sienna Guillory, whose behaviour seems more realistic to the spectator. Nothing more than a joke was Tim Curry's performance of the drug king Damian: a phony caricature, too ""eeeevil"" and just too ridiculous to be true.<br /><br />BUT: If you like club music (the club scenes such as the selected tracks are simply brilliant), if you enjoy a simple lovestory with a sweet girl like Sunny (yes, I confess, I lost my heart ;)... that makes my comment even more subjective, I guess) with some (predictable) twists and turns you will definetely enjoy this movie.<br /><br />Anybody else: F.O.R.G.E.T.....I.T.!<br /><br />3 out of 10 (objective view)<br /><br />7 out of 10 (my personal view and also my final vote)",1,309,long (>300w),0,1,0.0009903295,False,0.9990096704568714
"I just saw this for the first time in 10 or 15 years...maybe close to 20. In some ways, it was better than I remembered...in other, it was MUCH worse.<br /><br />First of all, there's the music. It's just plain awful. There are only 5 songs in the movie, most of them used more than once. The opening song is shrieked by a chorus of annoying children, and the disco-y title track is performed by Rick Dees. It doesn't get any worse than that. Even the background music is terrible, with much of it repeating the themes of the other nauseating tunes. We also get some truly lame slapstick, mostly in the opening credits.<br /><br />On the other hand, Bill Murray is spot on brilliant as usual...you have to wonder if he ad-libbed the whole thing, or if the writers just gave him all the funny lines. Or maybe he's just that great- turning a weak script into comic genius. The best part are his surreal PA announcements. (""Lobsters...get out of here...you're a menace!"")<br /><br />You also get a lot more character development than you have any right to expect in a movie like this. At least half the characters seem like real people...and mostly real people you would like to have around. Even ""Spaz"" gets to do a more than any other Eddie Deezen-type character ever did, and when he gets the girl, it's plausible. (She's not absurdly hot, but he doesn't automatically pair up with one of the nerd girls- see ""Revenge Of The Nerds"" for examples of both cinematic phenomenons.)<br /><br />And when the plot seems clichéd...well, ya gotta wonder if it wasn't a cliché yet when they made this. While it wasn't the first summer camp movie- ya gotta go back at least to ""The Parent Trap""- it's certainly the movie that made it it's own genre. In fact, I was surprised that there was no Talent Show scene...""Wet Hot American Summer"" spoofed the summer-camp genre so perfectly, I just assumed everything in it came straight out of Meatballs. (I also half-expected Jon Cryer to pull up in a convertible with a chimp, thanks to ""Mr. Show's"" epic camp-olympiad spoof ""Monk Academy"") <br /><br />Anyway, this one seems to be vanishing a little as far as the late-70's/early 80's comedies- it's not a cable staple anymore, and certainly doesn't have the cult following of Caddyshack or Animal House. I was pleased to catch it on Showtime today- and in High Definition at that! Sure, it's pretty awful in spots, but you could do a lot worse in a 70's/80's teen comedy. And again, Murray is a genius.",1,441,long (>300w),0,1,0.001009468,False,0.9989905320107937
"This was one of the worst Columbo episodes that I have seen, However, I am only in the second season.<br /><br />The typical Columbo activities are both amusing and irritating. His cigar ashes causing him trouble have been seen before, And the bit where he always identifies in some way with the murderer--in this case cooking ,Tho the scene on the TV cooking show distracted from the main theme.<br /><br />Also not explained was why the brother at the beginning of the show was cutting part of the wires of the mixer. The reason was never explained ,nor did it serve any purpose. But the part I disliked the most was the death of the bride to be . This was never explained and it is the main reason why I give this episode such a low grade.",1,138,medium (100-300w),0,1,0.0010340771,False,0.9989659228594974
"Every time the supposed explorers and we , the audience, is primed to set its first sights one of the wonderous new worlds, for some ungodly reason, the filmmakers decided to distract with an ""emergency"" or some false alarm or some bit of artificial dramatic suspense. <br /><br />So instead of calmly enjoying the surface of Io, or standing over the rings of Saturn or concentrating on the magic of flying by a comet or an asteroid, we are distracted into worrying about the wellbeing and survival of the characters. Big let down !!!!<br /><br />The filmmakers seem to be unsure what they want. A documentary of the natural wonders in our solar system, or a suspense thriller in which the viewer cares more about the characters than the subject matter. Come on. <br /><br />Hello. If I wanted suspense and tension I'd watch a real Narrative sci-fi movie. <br /><br />Sure it's a docu-drama. But the characters and their survival here (the risks of such a mission - should be secondary to the subject matter ). Wait. Yes the risks of such a mission are an important part of the subject matter - since essentially this is a film about a space mission , not just about the solar system. But it was overplayed and distracted strongly from the discovery of new worlds we were supposed to be enjoying. <br /><br />Otherwise, the film was remarkable in giving a very realistic feel for the human elements of a space mission , the squabbles, the tensions, the weight of responsibility, the near-fatal mistakes, the sacrifices , etc. Also it would fit very well in the hard-sci-fi subgenre - in fact it would be one of the best , because here the science was almost closely adhered to. <br /><br />But the distractions were awful. <br /><br />Otherwise, I missed showing the effects of being in space for several years on the astronauts AFTER landing on Earth. Also not",1,328,long (>300w),0,1,0.0010486462,False,0.9989513538312167
"This cheapo remake of the terrific Five Star Final suffers from terrible acting. Humphrey Bogart stars as the manager of a sleazoid radio station that is desperate to boost sagging ratings. The owner decides to have a series of morality plays written about a famous murder case from 20 years ago. So they hire the fake preacher (Harry Hayden) to track down the murderess, who was acquitted and has been living quietly under a fake name. The preacher arrive on the daughter's wedding day, but the ruthless radio station refuses to back off exposing the mother and ruining their lives.<br /><br />Bogart is always good. Hayden is good the the slimy preacher, and Henry O'Neill is good as the father. Everyone else is just awful. Helen McKeller wins no sympathy (crucial for the role), Linda Perry is a lousy actress, Beverly Roberts is OK but always looks old, Claire Dodd and Hobart Cavanagh have no parts, Carlyle Moore is a dud as the boy friend, Virginia Brissac is miscast as the society mother, Robert Middlemas overacts as the station owner.<br /><br />This one comes in under an hour but is a pale copy of the original which boasted dynamic performances by Edward G. Robinson, Aline MacMahon, Frances Starr, and Boris Karloff. But it's always worth watching Boagrt.",1,217,medium (100-300w),0,1,0.001071127,False,0.998928872984834
"I saw this movie when it first came out in 1973 and loved it. Since then I've searched for a video but never found it until now, 33 years later, when I ordered it from Moviehunter. Sorry to say it doesn't hold up. This glamourized version just can't rise up to the 1937 production level. I love Burt Bacharach's musical score, that is if listend to by itself, and I even bought a CD of it, but for my taste it doesn't lend itself well to this mysterious and compelling story. Just doesn't fit. Michael York is lost here. Sally Kellerman tosses off a fine performance but Olivia Hussy is just ridiculous and not worth lugging through the Himalayas. The best performance is Charles Boyer as the head Lama.",1,129,medium (100-300w),0,1,0.0011210275,False,0.9988789724884555
"Obviously made on the cheap to capitalize on the notorious ""Mandingo,"" this crassly pandering hunk of blithely rancid Italian sexploitation junk really pours on the sordid stuff with a commendable lack of taste and restraint: The evil arrogant white family who own and operate a lavish slave plantation spend a majority of the screen time engaging in hanky panky both each other and their various slaves. Director Mario Penzauti and screenwriter Tecla Romanelli cram this fetid filth with a teeming surplus of sizzling sleaze: we've got nasty rape, interracial copulation (one white lady makes wild love to a muscular black stud while he's tied to a cross), copious female nudity, brutal whippings, vile degradation, lots of lurid soft-core sex, and a severely twisted tragic surprise ending that mixes elements of incest, murder and miscegenation in a questionable attempt at making a statement about the horrid inhumanity of slavery. Special kudos are in order for foxy brunette actress Paola D'Egidio, whose lusty and uninhibited portrayal of depraved and lascivious wicked bitch Rhonda positively burns up the screen. Moreover, Marcello Giombini's funky, throbbing tribal score hits the groovy spot. Maurizo Centini's fairly polished cinematography likewise does the trick. A satisfyingly seamy chunk of slimy swill.",1,203,medium (100-300w),0,1,0.0011309847,False,0.998869015253149
"Despite some really scenic locations in the orient and some sporadically energetic music by Franco Micalizzi, this film doesn't quite reach the level of Joe D'Amato's similar efforts while staying just about as trashy. The author of the original book ""Emmanuelle: The Joys of a Woman"", Emmanuelle Arsan, directed and had a smallish role in this film, which mostly pornographically showcases a very young Annie Belle as she gets in a variety of oddball sexual situations. Her boyfriend, played by ZOMBIE's Al Cliver actually approves of her sleeping around and even persuades her to continue her practices even after the two of them are married! Orso Maria Guerrini drops by as a professor who is oh so usually married simultaneously to two women, one of whom is played by Arsan herself. Despite beginning promisingly and having a few hilarious lines of dialog like ""can you see me with the naked eye?"" ... ""I can see you better naked!"", the film shambles along plotlessly up until the less-than-spectacular finale. Much like D'Amato's EMANUELLE AND THE LAST CANNIBALS, the main characters are all in search of some lost tribe, but don't get your hopes up, there's no violence at all in this film, and not much sex either for that matter. Just a lot of nudity and silly dialog. I couldn't help but find some appreciation for this little film, if only for the completely cornball logic the film goes by.",1,239,medium (100-300w),0,1,0.0011427891,False,0.998857210855931
"The Merchant of Four Seasons is a film about a lack of love. The film starts off with the main character; Hans Epp, returning from a spell in the foreign legion. He returns to his mother, not to be told how much she loves him, or how much she's missed him; but to be told that he is worthless and, even worse, that she would have preferred the man he went with to have come back instead. It is the character's relation to women that makes this film so hateful; the fact that his wife is taller than him is symbolic of his relation to the other gender; he is consistently humiliated by them, and it is through his relations with them that his life isn't as great as it could have been. This is also shown clearly by the way he treats his wife after a drink. He lost his job as a policeman through lust for a woman, and even his wife; a woman that is supposed to love him, never really shows any affection for him. Even at the end, his wife is more bothered about what her and her daughter will do than the state of her husband.<br /><br />The Merchant of Four Seasons is a thoroughly unpleasant film. There isn't a scene in the movie where someone is happy, and not only that; but the movie seems deliriously blissful to wallow in the misery of it's central characters. The movie is certainly not recommended to anyone who is currently having a hard time, that's for sure. Despite all the misery, the film never steps out the bounds of reality; every event in this movie can - and most probably has - happened, and that only serves in making the movie more shocking. The film is, of course, helmed by Rainer Werner Fassbinder; the cult German director that committed suicide in 1982. This is only my second taste of the man's work, but through just two films, it is easy to get an idea of the type of art that he creates. Both films are downtrodden and gritty - yet realistic pieces of art. His characterization in this movie is subtle; we only ever get to know the characters through their plight's and not through their character. This is a very clever way of showing the audience that it is their surroundings that define the people in the film, not the people themselves - and as nearly everyone that sees the film knows what living in an urban society is like, it wont difficult for the majority of people to relate to. <br /><br />The Merchant of Four Seasons is not a film that is easily forgettable; the movie is high on substance and low on style, and that makes for a very memorable picture, and one that everyone who considers themselves to be a fan of cinema should experience. It is with that in my mind that I give this film my highest recommendations; it's not sweet and it's not pleasant, but you will not see a more realistic portrayal of depression, and this is most certainly a movie that will stay with you.",1,529,long (>300w),0,1,0.0011672977,False,0.9988327022874728
"(Mild Spoilers) Frankie Machine had been dealt a bad hand in life. A card dealer at an illegal gambling den in his Chicago neighborhood he was busted when the joint was raided by the cops and given six months in jail. <br /><br />While behind bars Frankie was treated for his heroin addiction at the prisons hospital and learned how to play the drums as part of his rehabilitation program. Now out of prison and back in his old neighborhood Frankie is trying to put his life back together by getting a union card in the Musicians Union and then a job as a drummer in a band and put his old life behind him but instead it catches up with Frankie in no time at all in ""The Man with the Golden Arm"". <br /><br />Otto Preminger's ground-breaking 1955 film about heroin addiction with Frank Sinatra giving the performance of his life as the drug addicted card sharp Frankie Machine, the Man with the Golden Arm. Frankie tries to getaway from the life that he lead but has this monkey or, better yet, gorilla on his back that just won't let him. Soild performances by the entire supporting cast starting with Frankie's friend Sparrow, Arnold Stang. Sparrows attempt to get Frankie back on his feet by shoplifting a suit of clothes for him ends up putting him and Frankie in the slammer, and almost back to prison, until his former boss at the gambling den Schwiefka bailed him out. <br /><br />There's Frankie's psychically as well as emotionally crippled wife Zosch, Eleanor Parker, who sees that her hold on Frankie is slipping and is slowly driven to madness murder and suicide. There's Frankie's drug dealer Louie, with Darren McGavin in one of his first acting roles, who's hold on Frankie is only good as long as he stays addicted and Louie goes out of his way to make sure that he does. <br /><br />There's the owner of the gambling joint that Frankie works at as it's top card dealer Schwiefka, Robert Strauss, who like Louie goes out of his way to get Frankie back to work for him even though if he's arrested again Frankie's hopes for a new and better life will go down the drain. And then there's Frankie's next-door neighbor and friend Molly, Kim Novak,who goes to almost impossible lengths to get him over his addiction by locking him up in her apartment. It's there that he goes ""Cold Turkey"" and almost ends up dying trying to kick the habit in one of the most harrowing sequence ever put on film.<br /><br />A no holds barred movie with explosive performances by everyone involved makes ""The Man with the Golden Arm"" one of the great classics of realism in motion pictures coming out of the 1950's.",1,470,long (>300w),0,1,0.0011705068,False,0.9988294931827113
